Id,Name,Email,Gender,Age,GPA,Intership,extracurricular_activities,Study Hours,Sleep Hours,social_platform_preference,daily_social_media_time,stress_level,Department,Attendance (%),Grade,DataBase_score,sychology_score,AI_score,Calculus_score,ComputerNetwork_score,MobileAppDev_Score
36,Kelly,kelly.farley.36@gslingacademy.com,female,25,3.51,FALSE,FALSE,5.3,9.8,TikTok,2.480195084,10,Mathematics,74,AA,78,70,98,80,66,65
37,Ryan,ryan.lee.37@gslingacademy.com,male,19,2.75,FALSE,TRUE,2.1,7.9,Facebook,0.399183513,9,Biology,56,BA,87,94,71,89,91,96
38,Michael,michael.gilmore.38@gslingacademy.com,male,22,3.26,FALSE,FALSE,9.5,7.1,Facebook,1.749943184,4,Chemistry,41,AA,85,100,89,81,91,88
39,Miguel,miguel.martinez.39@gslingacademy.com,male,24,3.74,FALSE,FALSE,6.8,8.9,Facebook,2.06964626,6,Chemistry,56,BA,64,64,88,94,82,78
40,Christopher,christopher.taylor.40@gslingacademy.com,male,19,3.26,FALSE,FALSE,3.7,9.3,TikTok,3.094253885,8,Biology,68,AA,66,60,87,60,83,95
41,Emily,emily.holloway.41@gslingacademy.com,female,24,2.37,FALSE,FALSE,3.7,9.2,Facebook,3.726209044,1,Physics,80,AA,64,97,90,79,81,81
42,Jesus,jesus.rasmussen.42@gslingacademy.com,male,19,2.67,TRUE,FALSE,1.3,8.7,Telegram,,6,Mathematics,49,AA,66,55,50,88,56,86
43,Lauren,lauren.farmer.43@gslingacademy.com,female,22,2.02,TRUE,FALSE,3.6,8.6,Facebook,0.552922333,5,Mathematics,63,AA,92,94,77,87,98,63
44,Pamela,pamela.cole.44@gslingacademy.com,female,18,2.7,FALSE,FALSE,8.4,7.5,Instagram,0.401118686,4,Chemistry,80,CB,85,99,96,91,68,66
45,David,david.gillespie.45@gslingacademy.com,male,18,3.5,TRUE,FALSE,3.6,9.2,Twitter,5.039176278,3,Computer Science,77,AA,79,99,57,53,95,83
46,Kenneth,kenneth.davis.46@gslingacademy.com,male,18,3.6,TRUE,TRUE,3,6.2,Twitter,,5,Chemistry,61,BB,50,53,58,84,53,96
47,Elizabeth,elizabeth.martin.47@gslingacademy.com,female,20,3.47,FALSE,TRUE,3.1,5.5,Instagram,3.559177299,6,Biology,53,CC,93,85,68,100,91,87
48,Billy,billy.soto.48@gslingacademy.com,male,25,3.05,FALSE,TRUE,3.8,6.1,TikTok,,7,Computer Science,60,BB,74,98,70,97,65,65
49,Kimberly,kimberly.kelly.49@gslingacademy.com,female,25,3.06,FALSE,FALSE,3.6,6.3,TikTok,1.990462099,8,Physics,42,AA,86,78,80,64,68,100
50,Sonia,sonia.noble.50@gslingacademy.com,female,19,3.94,FALSE,FALSE,9,7.3,Facebook,0,6,Chemistry,74,BA,90,89,93,30,83,74
51,Christopher,christopher.stewart.51@gslingacademy.com,male,22,2.13,FALSE,TRUE,8.9,6.4,Facebook,0,6,Mathematics,84,AA,96,72,65,89,87,94
52,Sandra,sandra.thornton.52@gslingacademy.com,female,23,3.64,FALSE,FALSE,8.8,5.1,Telegram,5.620133439,5,Chemistry,72,CB,73,81,70,85,86,61
53,Luke,luke.shannon.53@gslingacademy.com,male,22,3.56,FALSE,FALSE,4.2,7.8,Twitter,2.958615416,3,Physics,72,AA,61,70,81,82,51,70
54,Lindsay,lindsay.pruitt.54@gslingacademy.com,female,20,3.16,FALSE,FALSE,3.6,8.7,Facebook,1.632920852,1,Chemistry,62,CC,86,96,61,89,98,68
55,Jamie,jamie.taylor.55@gslingacademy.com,male,25,3.56,FALSE,FALSE,1,7.2,Instagram,6.590503269,1,Chemistry,46,BB,92,100,68,60,77,83
56,Jennifer,jennifer.murphy.56@gslingacademy.com,female,19,2.81,FALSE,FALSE,4,6.1,TikTok,1.569812062,1,Physics,55,BB,84,60,88,76,71,99
57,Melissa,melissa.lee.57@gslingacademy.com,female,23,2.94,FALSE,FALSE,3.5,8.6,Facebook,4.58999797,1,Chemistry,51,CC,79,72,86,87,81,62
58,David,david.vaughn.58@gslingacademy.com,male,19,3.8,TRUE,FALSE,3.4,9,TikTok,0.009858802,7,Computer Science,43,CB,73,78,97,67,78,99
59,Jacob,jacob.hanson.59@gslingacademy.com,male,21,2.62,FALSE,FALSE,1.9,9.5,Twitter,3.917471285,2,Mathematics,73,BB,64,89,96,91,95,77
60,Casey,casey.may.60@gslingacademy.com,male,25,2.1,FALSE,FALSE,6.9,5.9,Telegram,0.402138738,4,Biology,67,CC,90,99,79,85,96,98
61,Michelle,michelle.roman.61@gslingacademy.com,female,23,2.39,FALSE,FALSE,4.3,8,TikTok,0,3,Biology,66,BA,88,81,71,78,83,76
62,Brittany,brittany.koch.62@gslingacademy.com,female,23,3.29,FALSE,FALSE,3.6,7.3,TikTok,0,6,Mathematics,54,CC,61,86,99,99,88,73
63,Brian,brian.lewis.63@gslingacademy.com,male,22,3.51,FALSE,FALSE,2.6,6.6,Facebook,2.267765112,4,Physics,58,BB,53,65,64,52,96,62
64,Veronica,veronica.cameron.64@gslingacademy.com,female,24,2.79,FALSE,FALSE,5.7,7.9,Facebook,0,10,Chemistry,78,CC,65,97,88,67,95,69
65,Eric,eric.reyes.65@gslingacademy.com,male,18,2.47,FALSE,FALSE,8,8.7,Twitter,5.167122019,6,Computer Science,63,BB,99,73,70,63,80,78
66,Kristy,kristy.weber.66@gslingacademy.com,female,24,3.88,TRUE,FALSE,6.2,8.2,Telegram,2.829569491,2,Computer Science,46,BA,77,54,74,76,96,88
67,Anthony,anthony.smith.67@gslingacademy.com,male,19,2.75,FALSE,FALSE,6.5,9.7,Facebook,3.790185231,4,Computer Science,68,CC,66,86,69,100,71,80
68,Steven,steven.stephens.68@gslingacademy.com,male,19,2.18,FALSE,FALSE,3.8,8.4,Telegram,8.694539037,3,Computer Science,76,AA,73,64,76,72,97,91
69,Henry,henry.davis.69@gslingacademy.com,male,19,3.18,FALSE,FALSE,3.3,9.9,Telegram,0.49833583,4,Mathematics,40,CC,85,70,60,81,71,88
70,Raymond,raymond.shea.70@gslingacademy.com,male,20,2.33,FALSE,TRUE,3.9,6.8,Facebook,1.459002345,9,Chemistry,53,CC,96,81,69,91,87,83
71,Jill,jill.perez.71@gslingacademy.com,female,22,3.46,FALSE,FALSE,5.8,9.4,TikTok,0,7,Chemistry,64,DD,93,66,81,86,88,70
72,Kimberly,kimberly.bonilla.72@gslingacademy.com,female,20,3.92,TRUE,FALSE,3.2,6.7,Instagram,0,4,Physics,44,DC,93,87,83,93,97,73
73,Louis,louis.edwards.73@gslingacademy.com,male,19,3.92,TRUE,FALSE,7.3,9.6,Twitter,6.811090571,10,Physics,61,DC,69,70,64,59,78,80
74,Michael,michael.hodge.74@gslingacademy.com,male,20,2.87,TRUE,FALSE,8.1,8.5,Telegram,2.1617928,5,Mathematics,84,DC,66,54,87,99,58,68
75,Anna,anna.li.75@gslingacademy.com,female,18,3.68,FALSE,FALSE,8.6,7.4,TikTok,0,10,Chemistry,100,DD,64,100,68,73,81,87
76,Andrea,andrea.case.76@gslingacademy.com,female,23,2.53,FALSE,TRUE,4,9.8,Telegram,2.434694219,9,Computer Science,50,DD,96,90,92,100,98,77
77,Jennifer,jennifer.garcia.77@gslingacademy.com,female,25,3.23,FALSE,FALSE,3.2,6.9,Facebook,2.012029995,2,Computer Science,47,CB,60,63,90,89,99,80
78,Rhonda,rhonda.davenport.78@gslingacademy.com,female,25,2.6,FALSE,TRUE,2.5,9.8,Twitter,0.901222107,8,Biology,41,DD,80,91,93,74,93,65
79,Chelsea,chelsea.craig.79@gslingacademy.com,female,22,3.84,FALSE,FALSE,6.7,6.3,Twitter,0,7,Computer Science,63,CB,80,94,63,68,77,64
80,Shawn,shawn.chase.80@gslingacademy.com,male,19,3.35,FALSE,FALSE,4.9,8.2,TikTok,3.315270837,1,Chemistry,69,BB,89,79,68,93,75,92
81,Elizabeth,elizabeth.calhoun.81@gslingacademy.com,female,20,2.83,TRUE,FALSE,3.6,9.9,Telegram,2.179741705,5,Computer Science,63,CB,94,67,92,62,58,65
82,Lisa,lisa.harris.82@gslingacademy.com,female,18,2.74,FALSE,FALSE,5.5,5.5,TikTok,4.704052712,9,Biology,54,BB,83,67,85,91,61,67
83,Carol,carol.snyder.83@gslingacademy.com,female,23,3.5,FALSE,FALSE,3.9,5.1,Facebook,2.876874138,6,Mathematics,64,DD,61,80,63,95,92,75
84,Charles,charles.butler.84@gslingacademy.com,male,22,3.67,FALSE,FALSE,3.9,9.1,Instagram,3.026898068,5,Mathematics,64,DD,99,65,100,88,93,72
85,James,james.dawson.85@gslingacademy.com,male,24,3.28,FALSE,FALSE,7.1,8.8,Facebook,2.615327479,3,Physics,53,DD,70,67,71,65,73,87
86,Dennis,dennis.kim.86@gslingacademy.com,male,24,3.97,FALSE,FALSE,6.8,7.4,Telegram,0.53230927,1,Computer Science,61,CB,69,71,80,70,77,66
87,Jennifer,jennifer.berry.87@gslingacademy.com,female,19,3.07,FALSE,FALSE,2.3,6.4,Instagram,0.612193266,5,Biology,51,CC,71,76,72,92,67,90
88,Yvette,yvette.bridges.88@gslingacademy.com,female,25,2.14,FALSE,TRUE,3.8,8.2,Instagram,3.241396964,10,Computer Science,51,DC,83,95,89,81,63,70
89,Robert,robert.atkins.89@gslingacademy.com,male,18,3.52,FALSE,FALSE,4.5,8.6,Instagram,1.483537272,7,Physics,47,DC,68,96,87,69,89,100
90,William,william.brown.90@gslingacademy.com,male,21,3.16,FALSE,FALSE,3.6,7.7,Facebook,4.195709737,7,Physics,66,DC,60,75,80,62,85,73
91,Patrick,patrick.parker.91@gslingacademy.com,male,18,2.84,FALSE,FALSE,7.3,5.1,Telegram,2.329729235,8,Mathematics,57,DC,95,78,73,32,65,68
92,James,james.santiago.92@gslingacademy.com,male,25,3.86,FALSE,FALSE,3.9,8.2,Instagram,1.454227521,10,Biology,66,DC,95,82,63,62,98,93
93,Robert,robert.parsons.93@gslingacademy.com,male,23,2.3,FALSE,FALSE,1.6,7.1,TikTok,3.517820947,6,Chemistry,44,DD,73,73,77,87,98,83
94,Jacob,jacob.brown.94@gslingacademy.com,male,20,2.7,FALSE,FALSE,3,8.1,Instagram,2,7,Physics,42,CB,79,92,76,84,67,86
95,Natalie,natalie.robinson.95@gslingacademy.com,female,25,3.77,FALSE,FALSE,3.6,8.6,Facebook,0,4,Mathematics,58,DC,73,79,96,64,93,85
96,Victoria,victoria.jones.96@gslingacademy.com,female,22,3.39,FALSE,TRUE,7.4,8.2,TikTok,0,8,Chemistry,82,CC,89,98,85,81,64,94
97,Natasha,natasha.hansen.97@gslingacademy.com,female,21,3.2,FALSE,TRUE,3.2,9.3,Telegram,3,9,Chemistry,48,DD,84,76,93,76,69,91
98,Thomas,thomas.white.98@gslingacademy.com,male,21,3.95,FALSE,FALSE,3.4,9,Telegram,1.514861116,4,Biology,65,DC,93,89,98,79,72,88
99,Derrick,derrick.figueroa.99@gslingacademy.com,male,20,2.11,TRUE,FALSE,3.8,6.1,Facebook,3.303658158,6,Physics,55,DD,85,93,61,96,83,86
100,Kimberly,kimberly.ward.100@gslingacademy.com,female,23,2.76,FALSE,FALSE,4.8,8.9,Instagram,3.464867685,8,Biology,59,DD,94,89,69,99,93,98
101,Rhonda,rhonda.jones.101@gslingacademy.com,female,25,3,FALSE,FALSE,4.1,9,Telegram,5.406637934,6,Mathematics,47,DC,98,73,91,79,60,77
102,Abigail,abigail.perez.102@gslingacademy.com,female,22,2.85,FALSE,FALSE,3.9,9.8,Twitter,6.29913421,6,Chemistry,79,DD,100,80,61,81,98,65
103,James,james.yang.103@gslingacademy.com,male,24,3.97,FALSE,FALSE,3.8,9.1,Instagram,0.711946492,4,Physics,55,DD,64,87,74,73,90,99
104,Stephen,stephen.patton.104@gslingacademy.com,male,23,3.52,TRUE,FALSE,3.1,9,TikTok,2.701538211,8,Computer Science,59,DD,63,80,94,64,70,79
105,Emma,emma.wright.105@gslingacademy.com,female,20,3.37,FALSE,FALSE,3.6,5.1,Facebook,2.752916928,3,Physics,48,BB,100,60,91,87,78,99
106,Cynthia,cynthia.brown.106@gslingacademy.com,female,25,3.41,FALSE,FALSE,8.3,8.2,Facebook,6.03805987,1,Computer Science,59,DD,62,97,89,62,95,77
107,Erin,erin.kelley.107@gslingacademy.com,female,20,2.86,FALSE,FALSE,2,8.6,TikTok,0.121108319,7,Biology,49,DD,97,80,89,94,95,84
108,Benjamin,benjamin.morse.108@gslingacademy.com,male,21,3.86,FALSE,TRUE,4,8.8,Instagram,5.871146345,9,Physics,65,DC,83,81,81,81,77,86
109,Alexandra,alexandra.gibson.109@gslingacademy.com,female,19,2.99,FALSE,FALSE,7.6,9,TikTok,4.125252173,3,Computer Science,59,DC,72,93,61,61,87,95
110,Phillip,phillip.allen.110@gslingacademy.com,male,20,3.23,FALSE,TRUE,3.6,5.8,TikTok,1.901294907,3,Computer Science,57,DD,82,69,60,64,77,82
111,Joshua,joshua.gonzalez.111@gslingacademy.com,male,21,2.51,FALSE,FALSE,6.6,8.5,Twitter,4.744573711,4,Biology,51,BA,89,89,83,89,90,64
112,Erin,erin.jones.112@gslingacademy.com,female,24,2.38,TRUE,FALSE,3.9,6.3,TikTok,2.2501769,7,Computer Science,51,BA,85,54,57,50,54,76
113,Charles,charles.hayes.113@gslingacademy.com,male,24,3.25,TRUE,TRUE,3.7,8.7,Facebook,0,8,Chemistry,57,BA,94,85,76,57,93,86
114,Kelsey,kelsey.brown.114@gslingacademy.com,female,23,2.14,FALSE,FALSE,3.7,8.1,Telegram,3.24195614,7,Chemistry,67,AA,65,75,97,61,76,81
115,Robert,robert.turner.115@gslingacademy.com,male,18,3.75,FALSE,TRUE,3.8,8.4,Instagram,2.471388798,3,Biology,75,BA,91,65,75,64,94,100
116,Robert,robert.hill.116@gslingacademy.com,male,25,2.2,FALSE,FALSE,7.1,8,Telegram,2.029021075,10,Physics,71,AA,69,66,65,72,84,77
117,Alyssa,alyssa.ritter.117@gslingacademy.com,female,20,2.77,FALSE,FALSE,2.8,8.1,TikTok,1.418675282,6,Biology,45,AA,50,71,55,54,97,95
118,Beth,beth.bell.118@gslingacademy.com,female,21,2.99,FALSE,FALSE,2.2,8.2,TikTok,4.230857741,4,Biology,51,AA,64,96,70,74,63,75
119,Andrew,andrew.dixon.119@gslingacademy.com,male,23,2.48,FALSE,TRUE,3.9,9.1,Twitter,2.970205027,8,Computer Science,43,AA,94,73,65,60,63,93
120,Crystal,crystal.walker.120@gslingacademy.com,female,20,3.63,FALSE,FALSE,3.7,7.5,Facebook,2.049001851,3,Computer Science,51,BA,67,93,74,55,60,64
121,Jordan,jordan.bennett.121@gslingacademy.com,female,23,3.03,TRUE,FALSE,3.3,8,Instagram,1.786630934,6,Chemistry,52,AA,83,90,80,76,90,91
122,Antonio,antonio.caldwell.122@gslingacademy.com,male,23,3.65,FALSE,FALSE,6.7,5.7,TikTok,2.080004427,2,Physics,56,Fail,91,92,99,97,88,75
123,Jacob,jacob.reyes.123@gslingacademy.com,male,18,3.32,FALSE,FALSE,7.3,8.4,Facebook,1.834772504,9,Physics,68,BA,94,94,89,85,86,85
124,Wendy,wendy.lewis.124@gslingacademy.com,female,22,3.37,FALSE,FALSE,3.3,8.6,Telegram,2.186843041,9,Biology,45,AA,96,100,91,91,96,89
125,Jennifer,jennifer.miller.125@gslingacademy.com,female,25,2.41,FALSE,FALSE,1.2,5.8,Instagram,1,2,Computer Science,53,BB,82,62,89,81,72,71
126,Lisa,lisa.ware.126@gslingacademy.com,female,23,3.8,FALSE,FALSE,3.8,10,Instagram,2.257144501,10,Computer Science,52,BA,98,95,69,60,89,71
127,Brian,brian.lee.127@gslingacademy.com,male,24,2.9,FALSE,FALSE,3.6,8.1,Twitter,3.306719991,7,Chemistry,61,BB,86,67,87,87,68,78
128,Mario,mario.taylor.128@gslingacademy.com,male,18,3.44,FALSE,TRUE,8,6.4,Facebook,2.230478865,3,Physics,60,AA,80,67,83,86,77,75
129,Amanda,amanda.williamson.129@gslingacademy.com,female,20,2.51,FALSE,FALSE,8.1,5.8,Instagram,0,5,Physics,64,Fail,80,70,70,96,69,86
130,Michael,michael.miller.130@gslingacademy.com,male,21,2.02,FALSE,TRUE,3.6,5.6,Telegram,3.436939035,7,Physics,50,BB,64,97,90,87,68,69
131,Amanda,amanda.vasquez.131@gslingacademy.com,female,21,3.37,TRUE,FALSE,3.4,8.5,Telegram,1.567527717,3,Physics,43,AA,90,73,85,63,84,87
132,Chelsea,chelsea.obrien.132@gslingacademy.com,female,18,3.72,TRUE,FALSE,6.9,8.8,TikTok,5,1,Physics,52,CB,66,82,63,67,92,69
133,Tina,tina.perkins.133@gslingacademy.com,female,21,2.04,FALSE,FALSE,6,9.8,TikTok,6.310082717,5,Computer Science,51,BB,69,63,80,99,69,79
134,Cory,cory.perez.134@gslingacademy.com,male,22,2.08,TRUE,FALSE,3.6,8.4,Telegram,1.677437289,8,Chemistry,69,BB,53,52,56,85,93,78
135,Christopher,christopher.jenkins.135@gslingacademy.com,male,24,2.5,FALSE,FALSE,5,8.3,Facebook,4.810442061,9,Computer Science,75,AA,87,62,96,85,90,74
136,Joanne,joanne.campos.136@gslingacademy.com,female,22,2.9,FALSE,FALSE,6,8.7,Facebook,2.175830415,5,Physics,82,BA,84,83,75,83,85,86
137,David,david.patel.137@gslingacademy.com,male,18,3.18,FALSE,FALSE,4.2,5.3,Telegram,2.384882172,5,Chemistry,50,Fail,60,65,78,81,96,76
138,Michelle,michelle.hill.138@gslingacademy.com,female,24,3.77,FALSE,TRUE,3.5,9.7,Telegram,3.755642539,6,Computer Science,51,BA,76,97,67,61,90,95
139,Jessica,jessica.boyd.139@gslingacademy.com,female,21,2.02,FALSE,FALSE,7.7,8.3,TikTok,0,6,Mathematics,59,Fail,98,94,96,68,82,81
140,Lawrence,lawrence.russell.140@gslingacademy.com,male,25,3.26,FALSE,FALSE,4,9.7,Telegram,0,9,Mathematics,66,Fail,82,71,80,97,93,78
141,James,james.singh.141@gslingacademy.com,male,21,2.3,FALSE,FALSE,3.2,6.2,TikTok,3.114817468,4,Mathematics,47,CC,87,69,81,77,67,93
142,Marc,marc.villanueva.142@gslingacademy.com,male,23,3.86,TRUE,TRUE,8.8,6.7,TikTok,0,6,Physics,61,CC,77,85,89,98,63,100
143,Cathy,cathy.wilson.143@gslingacademy.com,female,25,3.98,FALSE,FALSE,4,8.2,TikTok,5.170530868,3,Chemistry,51,AA,79,99,96,60,97,100
144,Adam,adam.mitchell.144@gslingacademy.com,male,19,3.07,FALSE,TRUE,7.7,9,Twitter,5.670088628,5,Chemistry,59,CB,76,68,99,80,80,75
145,Sherry,sherry.phillips.145@gslingacademy.com,female,22,2.14,FALSE,FALSE,8.2,5.7,Facebook,3.707248529,8,Chemistry,76,BB,81,79,61,86,72,88
146,Victor,victor.jones.146@gslingacademy.com,male,21,3.85,FALSE,FALSE,3.9,8.7,Telegram,2.738590873,6,Biology,63,AA,68,72,94,100,98,92
147,Mark,mark.young.147@gslingacademy.com,male,18,3.19,FALSE,FALSE,7.7,8.8,Twitter,5.217943294,3,Computer Science,83,AA,51,97,93,68,58,78
148,Matthew,matthew.jackson.148@gslingacademy.com,male,24,2.03,FALSE,FALSE,3.6,8.2,TikTok,2.070318064,1,Chemistry,56,AA,65,90,79,96,87,74
149,Tanya,tanya.nichols.149@gslingacademy.com,female,21,3.64,FALSE,TRUE,3.4,6.9,Twitter,2.246007994,7,Physics,46,AA,82,91,99,94,75,74
150,Julie,julie.gray.150@gslingacademy.com,female,19,2.55,TRUE,FALSE,8.8,6.8,Twitter,6,2,Biology,69,AA,72,72,65,82,71,93
151,Courtney,courtney.perry.151@gslingacademy.com,female,22,2.71,FALSE,FALSE,1.8,8.3,Facebook,1.344959438,6,Physics,47,AA,79,92,73,73,61,60
152,Stephen,stephen.rodriguez.152@gslingacademy.com,male,18,2.51,TRUE,FALSE,7.2,9.5,Instagram,5.583121918,8,Computer Science,53,BA,97,57,56,50,98,83
153,Elizabeth,elizabeth.robinson.153@gslingacademy.com,female,19,3.99,FALSE,FALSE,5.9,8.4,TikTok,5.521179711,5,Mathematics,78,CC,84,100,72,84,90,82
154,William,william.graves.154@gslingacademy.com,male,21,3.47,FALSE,FALSE,3.2,5.8,Twitter,1.11818391,7,Physics,43,BA,82,67,70,65,68,81
155,Nancy,nancy.moore.155@gslingacademy.com,female,19,3.78,FALSE,FALSE,3.6,8.3,Telegram,1.500618882,9,Physics,74,CC,85,73,84,73,81,98
156,Matthew,matthew.newman.156@gslingacademy.com,male,18,3.71,FALSE,TRUE,6.2,9.9,Instagram,2.301460876,2,Computer Science,47,Fail,88,71,74,80,92,65
157,Anita,anita.moore.157@gslingacademy.com,female,20,2.59,FALSE,TRUE,3.6,8.8,Instagram,5.404169652,10,Chemistry,53,BA,85,99,90,76,64,95
158,Brian,brian.sanchez.158@gslingacademy.com,male,19,2.62,TRUE,FALSE,3.6,8.6,Twitter,2.29109841,5,Chemistry,54,Fail,62,54,66,58,69,96
159,Dennis,dennis.phillips.159@gslingacademy.com,male,20,3,TRUE,TRUE,7.8,7.9,Instagram,3.314460933,1,Computer Science,60,Fail,97,64,61,62,72,65
160,Michael,michael.rivas.160@gslingacademy.com,male,20,2.78,TRUE,TRUE,8.7,5.9,Instagram,0.865554592,5,Physics,72,AA,96,66,82,65,76,79
161,Ryan,ryan.smith.161@gslingacademy.com,male,20,2.45,FALSE,FALSE,3.6,8.8,Twitter,6.043881188,7,Biology,59,BA,77,64,61,76,72,87
